Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FGA,21.696172047746195,-2.916065747653053,0.6476485506751424,-4.502543462211404,6.714501792279078e-06,0.0012173072011221384
FGF2,94.54340274323769,-1.234373262062767,0.2521684237483124,-4.895035007613747,9.828823022073896e-07,0.00027514922801205686
FGF8,1.7697191318151309,2.0595154300489598,0.401690503935426,5.1271200336367375,2.9420795302276673e-07,0.00010371375173595163
FGG,11.38478968987912,-4.78346830849379,0.8118777960992873,-5.891857532594478,3.818783524686447e-09,2.9077745270372482e-06
FIGN,30.525532103794294,-1.052757225901863,0.31309732713355903,-3.362396081563432,0.000772692033752999,0.03026536122329648
FLJ26850,3.267931464138183,1.0222661520165128,0.311495664499759,3.281798973536929,0.0010314711230313077,0.03602767761105316
FMO9P,5.586815346696202,-1.260094705006645,0.3926170915753566,-3.2094749109127614,0.0013297765129515104,0.041227403421082984
FOLR3,5.2011724028022535,-1.757457258113468,0.4334045066259061,-4.0550045771222685,5.013332110493401e-05,0.004898084244009367
FOS,8570.853540740152,1.070994888809363,0.23293721037103587,4.597783613461415,4.270091396494288e-06,0.0008342861687818033
FOSB,2405.0344952267033,1.5292226514215923,0.30476962106664585,5.017634782855171,5.231150044521264e-07,0.000158063765472233
FYB2,16.751383394686336,1.6379073385773795,0.4910435987611789,3.3355639758048907,0.000851265642785207,0.03221608901801034
GABBR2,5.640991555441045,-2.023257117425989,0.4582626364513153,-4.415060178358954,1.0098189459379196e-05,0.0016429840559721571
GABRA3,29.974176303268383,-1.4487459265363503,0.3896338946037746,-3.7182235596048563,0.00020062868261269614,0.01268826445918699
GAGE12D,18.528169866850163,-7.474274976185635,1.858066609297333,-4.022608736837582,5.755706720941281e-05,0.00537933407490615
GAGE2D,5.965189757910849,-4.959925542097961,1.46572797588341,-3.383933187949531,0.0007145538885391829,0.029002660601773745
GAGE4,9.641247112668228,-5.654201229221283,1.434711370473662,-3.9410025915906557,8.114174943899527e-05,0.006804468468373189
GAL3ST3,0.982094395019607,-2.2750989484372575,0.7075448590049671,-3.2154836820336303,0.001302248983158254,0.04077238757138244
GATA4,22.70539803191407,2.4964093736062196,0.6851657962929972,3.6435113765350318,0.0002689437592741955,0.015561134959099044
GFAP,8.754955636099226,-1.8230087074317018,0.40831103156082843,-4.464754969913463,8.016043732580507e-06,0.0013872128044854777
GNMT,9.599616144112153,1.0447310001455248,0.23775186741681156,4.394207336819645,1.1117766875779747e-05,0.0017935407648079938
GPR141,7.8066518913060685,-1.0405640428059628,0.29625037096971063,-3.5124480668155944,0.00044399876786393365,0.02145167651029909
GPR156,13.041202106289523,-1.1706240440361355,0.30275049961814615,-3.8666296026352494,0.00011034983226583719,0.008504532012196262
GPR176,81.78510264815127,-1.012244292389887,0.23108455474377967,-4.380406529169534,1.1845809846285568e-05,0.0018597381654211704
GPR20,3.494357764753596,-1.118782912011216,0.3292357847460569,-3.3981206291841737,0.0006785049512894607,0.0281135715940556
GREB1L,5.900177046230013,-2.171471213307046,0.5058711531257601,-4.292538129303483,1.766422043007772e-05,0.002368000704978588
GTSF1,10.021312913994247,-1.8350389313535405,0.42837705464251485,-4.283700332374011,1.8381044293804876e-05,0.002396586021759381
GUCY2C,5.073181639760423,1.3175335919957618,0.34433073564982675,3.826360692167925,0.00013005169217220695,0.009521784662269737
HAL,16.97084541303889,-1.8172082842507888,0.31079006558942524,-5.847060396877177,5.0033587981206395e-09,3.5275532622601666e-06
HCG22,11.269516082593356,-1.6492648914849521,0.4728100596048541,-3.4882187000490372,0.00048625017456202816,0.022272455614183572
HES6,611.3368159618861,1.141455065350521,0.2475335899673607,4.611313824119915,4.0013192841967744e-06,0.0008053106629484528
HES7,4.408880826778564,-1.226796790096466,0.3774481219959485,-3.2502394861819823,0.0011530786049612507,0.03830716286918389
HRH2,14.76665317158218,-1.0655315282189946,0.28838299238728393,-3.6948487128118814,0.00022001774979629136,0.01355423263793593
HSD17B13,5.978324181776724,-1.122699119399447,0.3054656407940993,-3.6753695652343703,0.00023750536029053905,0.014352863614256195
HSD17B2,151.63701517156807,-1.8182290296334305,0.35457777874016283,-5.127870776600025,2.93037462057259e-07,0.00010371375173595163
HYDIN,33.300978302509115,1.2657573599995102,0.3900611979780629,3.2450224902162574,0.0011744134784340801,0.038812734332415194
IFNK,3.4252838726606814,-3.128934147215553,0.6762251645932305,-4.627059611272675,3.7089378700259206e-06,0.0007591757128367035
IGFBP1,3.9164043356449554,-2.0379339830050687,0.5873703359845327,-3.469589555606591,0.0005212542592940481,0.02329247906084859
IL1A,314.0544434392759,-1.2396260399330947,0.355160975408702,-3.4903216450134855,0.0004824395178356727,0.022272455614183572
IL24,67.52649884240898,-1.143349007389258,0.35297659869581866,-3.239163762169263,0.0011988072084533634,0.03934567934503143
IL6,146.9169813787521,-1.0631928266065542,0.33570142971309397,-3.1670786374523585,0.0015397867438463031,0.044210226931912865
INA,132.8334309278051,-1.276793219223495,0.39803947384145616,-3.207705022070391,0.0013379865472138018,0.041414490915060054
INHA,23.60474772732295,-1.557729204993382,0.36238547071425037,-4.298542107450243,1.7192524181607683e-05,0.0023376920737220273
INHBA,180.28026855074384,-1.0510903165107397,0.3117905722189246,-3.3711420747280125,0.0007485724159854471,0.0299366061149138
INSL4,5.4835694374435855,-2.7892206951065304,0.7996695827887498,-3.4879664740772864,0.00048670910305398363,0.022272455614183572
IQUB,9.636825551979832,1.0992887203070025,0.27364455871226306,4.017213883148699,5.889027021070862e-05,0.005441918367626453
ITGAD,7.003532004437547,-1.0945162354426707,0.3286192649576923,-3.3306514625172174,0.0008664301286852677,0.03249105895870234
ITIH3,7.225880413375137,-1.0397045830617313,0.2991915088562188,-3.47504709286846,0.000510763676132717,0.02304004108735166
KCNB1,1.176426543307716,-2.2435555819799653,0.643229239948919,-3.487956458817285,0.00048672733428768467,0.022272455614183572
KCNG1,253.96284428053536,-1.1832750395001252,0.32040197748262983,-3.69309530732929,0.0002215409459008441,0.013560300469995075
KCNMB2,7.843800077780313,1.1187486294156372,0.2595245684090635,4.3107619300699955,1.626929896675377e-05,0.0022683293296587403
KHDC1L,11.299010191042301,-1.216637788151891,0.38220079885457386,-3.183242399801518,0.0014563563671415275,0.04304844690202814
KIAA1045,14.542565009012494,-2.0405783977768133,0.3232123248542173,-6.313430029926001,2.729177492133207e-10,3.2470389212654834e-07
KIAA1644,90.78385983502943,-1.1829302831342319,0.2648403261608534,-4.466579165952875,7.948025893204413e-06,0.0013872128044854777
KIF1A,99.29068161551976,-2.524714688911845,0.6143254052378212,-4.1097351133223325,3.961132301085762e-05,0.004165973175882241
KLF17,1.5405842168541277,-1.7431767900096218,0.5437878731334975,-3.2056190954844617,0.0013477226215602327,0.04164812958444901
